donor,proportion,passage,harvestday,well,um_pb2
UM14-1,0.01271,1,9,2,10
UM77-2,0.00603,1,9,2,10
WA7,6.00E-05,1,9,2,10
WA09,0.03784,1,9,2,10
WA13,0.02423,1,9,2,10
WA15,0.01554,1,9,2,10
WA17,0.04681,1,9,2,10
WA22,0.01124,1,9,2,10
WA24,0.00299,1,9,2,10
CHB4,0.01178,1,9,2,3
CHB11,0.01464,1,9,2,3
CSES15,0.04805,1,9,2,3
CSES25,0.0117,1,9,2,3
CT2,0.03165,1,9,2,3
CT4,0.03103,1,9,2,3
ESI017,0.01272,1,9,2,3
ESI049,0.14467,1,9,2,3
ESI051,0.02154,1,9,2,3
Genea15,0.00877,1,9,2,3
Genea16,0.01025,1,9,2,3
Genea42,0.00691,1,9,2,3
Genea47,0.00228,1,9,2,3
Genea52,0.01063,1,9,2,3
HS401,0.19676,1,9,2,3
HS420,0.01143,1,9,2,3
HUES42,0.01363,1,9,2,3
HUES44,0.02319,1,9,2,3
HUES45,0.00717,1,9,2,3
HUES49,0.01861,1,9,2,3
HUES63,0.07091,1,9,2,3
HUES64,0.01536,1,9,2,3
HUES75,0.01389,1,9,2,3
Mel2,0.00753,1,9,2,3
RUES1,0.00398,1,9,2,3
UCLA10,0.00996,1,9,2,3
UCLA13,0.01512,1,9,2,3
UCLA2,0.00318,1,9,2,3
UCSF4,0.04994,1,9,2,3
UM14-1,0.01738,1,9,2,3
UM77-2,0.00448,1,9,2,3
WA7,0.00427,1,9,2,3
WA09,0.02919,1,9,2,3
WA13,0.02462,1,9,2,3
WA15,0.01623,1,9,2,3
WA17,0.05532,1,9,2,3
WA22,0.01907,1,9,2,3
WA24,0.00215,1,9,2,3
CHB4,0.00345,1,9,3,0
CHB11,0.01981,1,9,3,0
CSES15,0.03888,1,9,3,0
CSES25,0.00791,1,9,3,0
CT2,0.02678,1,9,3,0
CT4,0.03208,1,9,3,0
ESI017,0.02007,1,9,3,0
ESI049,0.07665,1,9,3,0
ESI051,0.03647,1,9,3,0
Genea15,0.00385,1,9,3,0
Genea16,0.01857,1,9,3,0
Genea42,0.00911,1,9,3,0
Genea47,0.00977,1,9,3,0
Genea52,0.03086,1,9,3,0
HS401,0.16742,1,9,3,0
HS420,0.0186,1,9,3,0
HUES42,0.02471,1,9,3,0
HUES44,0.03337,1,9,3,0
HUES45,0.01211,1,9,3,0
HUES49,0.01931,1,9,3,0
HUES63,0.04449,1,9,3,0
HUES64,0.01669,1,9,3,0
HUES75,0.0183,1,9,3,0
Mel2,0.0058,1,9,3,0
RUES1,0.00719,1,9,3,0
UCLA10,0.0215,1,9,3,0
UCLA13,0.01616,1,9,3,0
UCLA2,0.00508,1,9,3,0
UCSF4,0.04274,1,9,3,0
UM14-1,0.04751,1,9,3,0
UM77-2,0.00702,1,9,3,0
WA7,0.00486,1,9,3,0
WA09,0.02017,1,9,3,0
WA13,0.02941,1,9,3,0
WA15,0.03105,1,9,3,0
WA17,0.04167,1,9,3,0
WA22,0.02795,1,9,3,0
WA24,0.00263,1,9,3,0
CHB4,0.00377,1,9,3,10
CHB11,0.014,1,9,3,10
CSES15,0.05004,1,9,3,10
CSES25,0.01085,1,9,3,10
CT2,0.03422,1,9,3,10
CT4,0.03578,1,9,3,10
ESI017,0.01516,1,9,3,10
ESI049,0.1598,1,9,3,10
ESI051,0.02449,1,9,3,10
Genea15,0.00533,1,9,3,10
Genea16,0.00458,1,9,3,10
Genea42,0.00923,1,9,3,10
Genea47,0.00288,1,9,3,10
Genea52,0.00926,1,9,3,10
HS401,0.21861,1,9,3,10
HS420,0.00901,1,9,3,10
HUES42,0.011,1,9,3,10
HUES44,0.01672,1,9,3,10
HUES45,0.0042,1,9,3,10
HUES49,0.01657,1,9,3,10
HUES63,0.06392,1,9,3,10
HUES64,0.01108,1,9,3,10
HUES75,0.00764,1,9,3,10
Mel2,0.00544,1,9,3,10
RUES1,0.00622,1,9,3,10
UCLA10,0.01166,1,9,3,10
UCLA13,0.01851,1,9,3,10
UCLA2,0.0037,1,9,3,10
UCSF4,0.06386,1,9,3,10
UM14-1,0.01024,1,9,3,10
UM77-2,0.0064,1,9,3,10
WA7,0.00179,1,9,3,10
WA09,0.03284,1,9,3,10
